Location Name,Identifier,Road Section,State,Post Code,Latitude,Longitude,Electorate,Local Government Area,Regional Development Authority,Remoteness Area,Updated
Raglan,VIC-1501,N/A,Victoria,3373,-37.36120128,143.3454879,Wannon,Pyrenees,Grampians,Inner Regional Australia,25 February 2016
Rainbow,VIC-1502,N/A,Victoria,3424,-35.90004086,141.9965415,Mallee,Hindmarsh,Grampians,Remote Australia,25 February 2016
Ranceby,VIC-1503,N/A,Victoria,3951,-38.37369744,145.8414191,Mcmillan,South Gippsland,Gippsland,Inner Regional Australia,25 February 2016
Rawson,VIC-1504,N/A,Victoria,3825,-37.95472863,146.3988152,Mcmillan,Baw Baw,Gippsland,Inner Regional Australia,25 February 2016
Raymond Island,VIC-1505,N/A,Victoria,3880,-37.91217515,147.7522024,Gippsland,East Gippsland,Gippsland,Outer Regional Australia,25 February 2016
Raywood,VIC-1506,N/A,Victoria,3570,-36.53660532,144.208485,Bendigo,Greater Bendigo,Loddon Mallee,Inner Regional Australia,25 February 2016
Red Cliffs,VIC-1507,N/A,Victoria,3496,-34.30702358,142.1868636,Mallee,Mildura,Loddon Mallee,Outer Regional Australia,25 February 2016
Red Hill,VIC-1508,N/A,Victoria,3937,-38.36845682,145.0110819,Flinders,Mornington Peninsula,Southern Melbourne,Inner Regional Australia,25 February 2016
Red Hill South,VIC-1509,N/A,Victoria,3937,-38.38480387,145.0219499,Flinders,Mornington Peninsula,Southern Melbourne,Inner Regional Australia,25 February 2016
Red Lion,VIC-1510,N/A,Victoria,3371,-37.16859194,143.7595935,Wannon,Central Goldfields,Loddon Mallee,Inner Regional Australia,25 February 2016
Redbank,VIC-1511,N/A,Victoria,3477,-36.93947381,143.3321391,Wannon,Pyrenees,Grampians,Inner Regional Australia,25 February 2016
Redcastle,VIC-1512,N/A,Victoria,3523,-36.78502484,144.7885217,Bendigo,Greater Bendigo,Loddon Mallee,Inner Regional Australia,25 February 2016
Redesdale,VIC-1513,N/A,Victoria,3444,-37.02121985,144.532232,Bendigo,Greater Bendigo,Loddon Mallee,Inner Regional Australia,25 February 2016
Reedy Creek,VIC-1514,N/A,Victoria,3658,-37.26040759,145.1268937,McEwen,Mitchell,Hume,Inner Regional Australia,25 February 2016
Reedy Dam,VIC-1515,N/A,Victoria,3395,-35.9643393,142.6426378,Mallee,Buloke,Loddon Mallee,Outer Regional Australia,25 February 2016
Reedy Flat,VIC-1516,N/A,Victoria,3895,-37.40317701,147.9039215,Gippsland,East Gippsland,Gippsland,Outer Regional Australia,25 February 2016
Reefton,VIC-1517,N/A,Victoria,3799,-37.67621352,145.85844,Casey,Yarra Ranges,Melbourne East,Inner Regional Australia,25 February 2016
Reynard,VIC-1518,N/A,Victoria,3858,-37.34985537,146.6616745,Gippsland,Wellington,Gippsland,Outer Regional Australia,25 February 2016
Rheola,VIC-1519,N/A,Victoria,3517,-36.651389,143.6982521,Murray,Loddon,Loddon Mallee,Outer Regional Australia,25 February 2016
Rhyll,VIC-1520,N/A,Victoria,3923,-38.46431599,145.3035297,Flinders,Bass Coast,Gippsland,Inner Regional Australia,25 February 2016
Rhymney,VIC-1521,N/A,Victoria,3377,-37.23768992,142.822282,Wannon,Ararat,Grampians,Outer Regional Australia,25 February 2016
Riachella,VIC-1522,N/A,Victoria,3385,-36.82754416,142.6882296,Mallee,Northern Grampians,Grampians,Outer Regional Australia,25 February 2016
Rich Avon,VIC-1523,N/A,Victoria,3480,-36.4518489,142.8921035,Mallee,Buloke,Loddon Mallee,Outer Regional Australia,25 February 2016
Rich Avon East,VIC-1524,N/A,Victoria,3480,-36.52642764,142.8876477,Mallee,Northern Grampians,Grampians,Outer Regional Australia,25 February 2016
Rich Avon West,VIC-1525,N/A,Victoria,3480,-36.5301526,142.8243417,Mallee,Northern Grampians,Grampians,Outer Regional Australia,25 February 2016
Richmond Plains,VIC-1526,N/A,Victoria,3518,-36.38251274,143.4671728,Murray,Loddon,Loddon Mallee,Outer Regional Australia,25 February 2016
Riddells Creek,VIC-1527,N/A,Victoria,3431,-37.45503128,144.6853382,McEwen,Macedon Ranges,Loddon Mallee,Inner Regional Australia,25 February 2016
Ripplebrook,VIC-1528,N/A,Victoria,3818,-38.19987745,145.7723455,Mcmillan,Baw Baw,Gippsland,Inner Regional Australia,25 February 2016
Robertsons Beach,VIC-1529,N/A,Victoria,3971,-38.65586393,146.7299919,Gippsland,Wellington,Gippsland,Outer Regional Australia,25 February 2016
Robinvale,VIC-1530,N/A,Victoria,3549,-34.58401624,142.7728381,Mallee,Swan Hill,Loddon Mallee,Outer Regional Australia,25 February 2016
Rochford,VIC-1531,N/A,Victoria,3442,-37.31417237,144.6768186,McEwen,Macedon Ranges,Loddon Mallee,Inner Regional Australia,25 February 2016
Rockbank,VIC-1532,N/A,Victoria,3335,-37.73569088,144.6711268,Gorton,Melton,Western Melbourne,Inner Regional Australia,25 February 2016
Rocklands,VIC-1533,N/A,Victoria,3401,-37.20993586,141.9441528,Mallee,Horsham,Grampians,Outer Regional Australia,25 February 2016
Rocklyn,VIC-1534,N/A,Victoria,3364,-37.4304227,144.0519401,Ballarat,Hepburn,Grampians,Inner Regional Australia,25 February 2016
Rocky Point,VIC-1535,N/A,Victoria,3377,-37.33467384,142.8381315,Wannon,Ararat,Grampians,Inner Regional Australia,25 February 2016
Rokewood,VIC-1536,N/A,Victoria,3330,-37.90099019,143.7185477,Corangamite,Golden Plains,Grampians,Inner Regional Australia,25 February 2016
Rokewood Junction,VIC-1537,N/A,Victoria,3351,-37.84417171,143.6768436,Corangamite,Golden Plains,Grampians,Inner Regional Australia,25 February 2016
Romsey,VIC-1538,N/A,Victoria,3434,-37.35994106,144.7431432,McEwen,Macedon Ranges,Loddon Mallee,Inner Regional Australia,25 February 2016
Rose River,VIC-1539,N/A,Victoria,3678,-36.87101906,146.5421254,Indi,Wangaratta,Hume,Outer Regional Australia,25 February 2016
Rosebery,VIC-1540,N/A,Victoria,3395,-35.83493699,142.4220529,Mallee,Yarriambiack,Grampians,Remote Australia,25 February 2016
Rosebrook,VIC-1541,N/A,Victoria,3285,-38.34906729,142.2615729,Wannon,Moyne,Barwon South West,Inner Regional Australia,25 February 2016
Rosedale,VIC-1542,N/A,Victoria,3847,-38.15368351,146.7891723,Gippsland,Wellington,Gippsland,Inner Regional Australia,25 February 2016
Roses Gap,VIC-1543,N/A,Victoria,3385,-36.97326653,142.4378996,Mallee,Northern Grampians,Grampians,Outer Regional Australia,25 February 2016
Rosewhite,VIC-1544,N/A,Victoria,3737,-36.58354175,146.8754774,Indi,Alpine,Hume,Inner Regional Australia,25 February 2016
Ross Creek,VIC-1545,N/A,Victoria,3351,-37.63414179,143.7536814,Ballarat,Golden Plains,Grampians,Inner Regional Australia,25 February 2016
Rossbridge,VIC-1546,N/A,Victoria,3377,-37.48676996,142.8482958,Wannon,Ararat,Grampians,Inner Regional Australia,25 February 2016
Rostron,VIC-1547,N/A,Victoria,3477,-36.77767865,143.1804277,Mallee,Northern Grampians,Grampians,Outer Regional Australia,25 February 2016
Rowsley,VIC-1548,N/A,Victoria,3340,-37.72101366,144.3740581,Ballarat,Moorabool,Grampians,Inner Regional Australia,25 February 2016
Rubicon,VIC-1549,N/A,Victoria,3712,-37.32505012,145.8609292,Indi,Murrindindi,Hume,Outer Regional Australia,25 February 2016
Ruby,VIC-1550,N/A,Victoria,3953,-38.44824982,145.9050042,Mcmillan,South Gippsland,Gippsland,Inner Regional Australia,25 February 2016
Ruffy,VIC-1551,N/A,Victoria,3666,-36.97468921,145.5022443,Murray,Strathbogie,Hume,Inner Regional Australia,25 February 2016
Running Creek,VIC-1552,N/A,Victoria,3691,-36.53563221,147.0525152,Indi,Alpine,Hume,Outer Regional Australia,25 February 2016
Rupanyup,VIC-1553,N/A,Victoria,3388,-36.6331917,142.6308613,Mallee,Yarriambiack,Grampians,Outer Regional Australia,25 February 2016
Rushworth,VIC-1554,N/A,Victoria,3612,-36.58452864,145.0112959,Murray,Campaspe,Loddon Mallee,Inner Regional Australia,25 February 2016
Russells Bridge,VIC-1555,N/A,Victoria,3331,-38.01682719,144.1820689,Corangamite,Golden Plains,Grampians,Inner Regional Australia,25 February 2016
Rutherglen,VIC-1556,N/A,Victoria,3685,-36.05574364,146.4620171,Indi,Indigo,Hume,Inner Regional Australia,25 February 2016
Ryans,VIC-1557,N/A,Victoria,3875,-37.54551827,147.4822197,Gippsland,East Gippsland,Gippsland,Outer Regional Australia,25 February 2016
Ryanston,VIC-1558,N/A,Victoria,3992,-38.53798877,145.5900417,Flinders,Bass Coast,Gippsland,Inner Regional Australia,25 February 2016
Sailors Falls,VIC-1559,N/A,Victoria,3461,-37.39083583,144.1202674,Ballarat,Hepburn,Grampians,Inner Regional Australia,25 February 2016
Samaria,VIC-1560,N/A,Victoria,3673,-36.79238376,146.0735877,Indi,Benalla,Hume,Outer Regional Australia,25 February 2016
San Remo,VIC-1561,N/A,Victoria,3925,-38.52143543,145.3712305,Flinders,Bass Coast,Gippsland,Inner Regional Australia,25 February 2016
Sandford,VIC-1562,N/A,Victoria,3312,-37.61045108,141.4423557,Wannon,Glenelg,Barwon South West,Outer Regional Australia,25 February 2016
Sandhill Lake,VIC-1563,N/A,Victoria,3579,-35.73578231,143.6875568,Mallee,Gannawarra,Loddon Mallee,Outer Regional Australia,25 February 2016
Sandon,VIC-1564,N/A,Victoria,3462,-37.16650894,144.0393941,Bendigo,Mount Alexander,Loddon Mallee,Inner Regional Australia,25 February 2016
Sandy Creek,VIC-1565,N/A,Victoria,3695,-36.30351026,147.097134,Indi,Indigo,Hume,Inner Regional Australia,25 February 2016
Sandy Point,VIC-1566,N/A,Victoria,3959,-38.82035216,146.1194946,Mcmillan,South Gippsland,Gippsland,Outer Regional Australia,25 February 2016
Sargood,VIC-1567,N/A,Victoria,3858,-37.57759818,146.7365114,Gippsland,Wellington,Gippsland,Outer Regional Australia,25 February 2016
Sarsfield,VIC-1568,N/A,Victoria,3875,-37.75172644,147.7236944,Gippsland,East Gippsland,Gippsland,Outer Regional Australia,25 February 2016
Sawmill Settlement,VIC-1569,N/A,Victoria,3723,-37.10747772,146.3643193,Indi,Mansfield,Hume,Outer Regional Australia,25 February 2016
Scarsdale,VIC-1570,N/A,Victoria,3351,-37.66731786,143.6553861,Corangamite,Golden Plains,Grampians,Inner Regional Australia,25 February 2016
Scotts Creek,VIC-1571,N/A,Victoria,3267,-38.45289432,143.0459378,Wannon,Corangamite,Barwon South West,Outer Regional Australia,25 February 2016
Sea Lake,VIC-1572,N/A,Victoria,3533,-35.50456918,142.8504988,Mallee,Buloke,Loddon Mallee,Outer Regional Australia,25 February 2016
Seacombe,VIC-1573,N/A,Victoria,3851,-38.12083707,147.4549563,Gippsland,Wellington,Gippsland,Outer Regional Australia,25 February 2016
Seaspray,VIC-1574,N/A,Victoria,3851,-38.37592533,147.1902241,Gippsland,Wellington,Gippsland,Outer Regional Australia,25 February 2016
Seaton,VIC-1575,N/A,Victoria,3858,-37.93502966,146.6592562,Gippsland,Wellington,Gippsland,Inner Regional Australia,25 February 2016
Seaview,VIC-1576,N/A,Victoria,3821,-38.28001927,145.9331388,Mcmillan,Baw Baw,Gippsland,Inner Regional Australia,25 February 2016
Sebastian,VIC-1577,N/A,Victoria,3556,-36.59488264,144.1849682,Bendigo,Greater Bendigo,Loddon Mallee,Inner Regional Australia,25 February 2016
Sedgwick,VIC-1578,N/A,Victoria,3551,-36.87174918,144.3147278,Bendigo,Greater Bendigo,Loddon Mallee,Inner Regional Australia,25 February 2016
Selwyn,VIC-1579,N/A,Victoria,3737,-37.00112613,146.9218602,Indi,Alpine,Hume,Outer Regional Australia,25 February 2016
Separation Creek,VIC-1580,N/A,Victoria,3221,-38.62929964,143.8981403,Corangamite,Colac-Otway,Barwon South West,Inner Regional Australia,25 February 2016
Serviceton,VIC-1581,N/A,Victoria,3420,-36.3734094,140.9879172,Mallee,West Wimmera,Grampians,Outer Regional Australia,25 February 2016
Seymour,VIC-1582,N/A,Victoria,3660,-37.02500272,145.1363594,McEwen,Mitchell,Hume,Inner Regional Australia,25 February 2016
Seymour VLine Railway,VIC-1583,Between Seymour and Melbourne,Victoria,3753,-37.45041323,144.9987557,McEwen,Mitchell,Hume,Inner Regional Australia,25 February 2016
Shady Creek,VIC-1584,N/A,Victoria,3821,-38.11826672,146.0533433,Mcmillan,Baw Baw,Gippsland,Inner Regional Australia,25 February 2016
Shannonvale,VIC-1585,N/A,Victoria,3898,-36.93746668,147.4353435,Gippsland,East Gippsland,Gippsland,Outer Regional Australia,25 February 2016
Shays Flat,VIC-1586,N/A,Victoria,3377,-37.05556473,143.0984973,Mallee,Northern Grampians,Grampians,Outer Regional Australia,25 February 2016
She Oaks,VIC-1587,N/A,Victoria,3331,-37.90132905,144.1333496,Corangamite,Golden Plains,Grampians,Inner Regional Australia,25 February 2016
Sheans Creek,VIC-1588,N/A,Victoria,3666,-36.7612738,145.6530409,Murray,Strathbogie,Hume,Inner Regional Australia,25 February 2016
Sheep Hills,VIC-1589,N/A,Victoria,3392,-36.34531417,142.5306684,Mallee,Yarriambiack,Grampians,Outer Regional Australia,25 February 2016
Shelbourne,VIC-1590,N/A,Victoria,3515,-36.84594944,144.0225536,Bendigo,Loddon,Loddon Mallee,Inner Regional Australia,25 February 2016
Shelford,VIC-1591,N/A,Victoria,3329,-38.01129114,143.9650321,Corangamite,Golden Plains,Grampians,Inner Regional Australia,25 February 2016
Shelley,VIC-1592,N/A,Victoria,3701,-36.17903126,147.5494999,Indi,Towong,Hume,Outer Regional Australia,25 February 2016
Shepherds Flat,VIC-1593,N/A,Victoria,3461,-37.27127637,144.1085823,Ballarat,Hepburn,Grampians,Inner Regional Australia,25 February 2016
Shoreham,VIC-1594,N/A,Victoria,3916,-38.42858779,145.0447666,Flinders,Mornington Peninsula,Southern Melbourne,Inner Regional Australia,25 February 2016
Sidonia,VIC-1595,N/A,Victoria,3444,-37.13516864,144.5826014,Bendigo,Macedon Ranges,Loddon Mallee,Inner Regional Australia,25 February 2016
Simpson,VIC-1596,N/A,Victoria,3266,-38.49834535,143.2095989,Wannon,Corangamite,Barwon South West,Outer Regional Australia,25 February 2016
Simpsons Creek,VIC-1597,N/A,Victoria,3888,-37.7484188,148.3767807,Gippsland,East Gippsland,Gippsland,Outer Regional Australia,25 February 2016
Skenes Creek,VIC-1598,N/A,Victoria,3233,-38.72333653,143.7118616,Corangamite,Colac-Otway,Barwon South West,Inner Regional Australia,25 February 2016
Skenes Creek North,VIC-1599,N/A,Victoria,3233,-38.68718099,143.714576,Corangamite,Colac-Otway,Barwon South West,Inner Regional Australia,25 February 2016
Skinners Flat,VIC-1600,N/A,Victoria,3518,-36.3562425,143.5765989,Murray,Loddon,Loddon Mallee,Outer Regional Australia,25 February 2016
Skipton,VIC-1601,N/A,Victoria,3361,-37.68619607,143.3658056,Wannon,Corangamite,Barwon South West,Inner Regional Australia,25 February 2016
Slaty Creek,VIC-1602,N/A,Victoria,3477,-36.54217844,143.3006181,Mallee,Northern Grampians,Grampians,Outer Regional Australia,25 February 2016
Smeaton,VIC-1603,N/A,Victoria,3364,-37.33597318,143.9486875,Ballarat,Hepburn,Grampians,Inner Regional Australia,25 February 2016
Smiths Beach,VIC-1604,N/A,Victoria,3922,-38.50177705,145.2569429,Flinders,Bass Coast,Gippsland,Inner Regional Australia,25 February 2016
Smiths Gully,VIC-1605,N/A,Victoria,3760,-37.61956314,145.2619197,McEwen,Nillumbik,Northern Melbourne,Inner Regional Australia,25 February 2016
Smoko,VIC-1606,N/A,Victoria,3741,-36.82121373,147.0653216,Indi,Alpine,Hume,Outer Regional Australia,25 February 2016
Smythesdale,VIC-1607,N/A,Victoria,3351,-37.64276761,143.6860407,Corangamite,Golden Plains,Grampians,Inner Regional Australia,25 February 2016
Snake Island,VIC-1608,N/A,Victoria,3971,-38.75432914,146.5466846,Gippsland,Wellington,Gippsland,Outer Regional Australia,25 February 2016
Snake Valley,VIC-1609,N/A,Victoria,3351,-37.61297618,143.584132,Wannon,Pyrenees,Grampians,Inner Regional Australia,25 February 2016
Snowy River National Park,VIC-1610,N/A,Victoria,3885,-37.21785762,148.4175794,Gippsland,East Gippsland,Gippsland,Remote Australia,25 February 2016
South Gippsland Highway,VIC-1611, Between Yarram and Traralgon,Victoria,3971,-38.54666703,146.7005655,Gippsland,Wellington,Gippsland,Inner Regional Australia,25 February 2016
South Gippsland Highway,VIC-1612,N/A,Victoria,3953,-38.4520662,145.9277883,Mcmillan,South Gippsland,Gippsland,Inner Regional Australia,25 February 2016
South Purrumbete,VIC-1613,N/A,Victoria,3260,-38.34159573,143.2133174,Wannon,Corangamite,Barwon South West,Inner Regional Australia,25 February 2016
South Wonthaggi,VIC-1614,N/A,Victoria,3995,-38.61344449,145.5973459,Mcmillan,Bass Coast,Gippsland,Inner Regional Australia,25 February 2016
Southern Cross,VIC-1615,N/A,Victoria,3283,-38.29639087,142.4030426,Wannon,Moyne,Barwon South West,Inner Regional Australia,25 February 2016
Spargo Creek,VIC-1616,N/A,Victoria,3461,-37.48701139,144.1450741,Ballarat,Moorabool,Grampians,Inner Regional Australia,25 February 2016
Speed,VIC-1617,N/A,Victoria,3488,-35.4009042,142.4376197,Mallee,Yarriambiack,Grampians,Outer Regional Australia,25 February 2016
Speewa,VIC-1618,N/A,Victoria,2735,-35.22115293,143.5148749,Mallee,Swan Hill,Loddon Mallee,Outer Regional Australia,25 February 2016
Spring Hill,VIC-1619,N/A,Victoria,3444,-37.314944,144.3505998,Ballarat,Hepburn,Grampians,Inner Regional Australia,25 February 2016
Springbank,VIC-1620,N/A,Victoria,3352,-37.53251701,144.0545172,Ballarat,Moorabool,Grampians,Inner Regional Australia,25 February 2016
Springdallah,VIC-1621,N/A,Victoria,3351,-37.74533641,143.6307962,Corangamite,Golden Plains,Grampians,Inner Regional Australia,25 February 2016
Springfield,VIC-1622,N/A,Victoria,3434,-37.34187432,144.8190474,McEwen,Macedon Ranges,Loddon Mallee,Inner Regional Australia,25 February 2016
Springfield,VIC-1623,N/A,Victoria,3544,-35.571545,143.122937,Mallee,Buloke,Loddon Mallee,Outer Regional Australia,25 February 2016
Springhurst,VIC-1624,N/A,Victoria,3682,-36.18564844,146.4698456,Indi,Wangaratta,Hume,Inner Regional Australia,25 February 2016
St Andrews,VIC-1625,N/A,Victoria,3761,-37.60312632,145.2702517,McEwen,Nillumbik,Northern Melbourne,Inner Regional Australia,25 February 2016
St Arnaud East,VIC-1626,N/A,Victoria,3477,-36.62286288,143.3148044,Mallee,Northern Grampians,Grampians,Outer Regional Australia,25 February 2016
St Helens,VIC-1627,N/A,Victoria,3285,-38.25767724,142.0684709,Wannon,Moyne,Barwon South West,Outer Regional Australia,25 February 2016
St Helens Plains,VIC-1628,N/A,Victoria,3401,-36.76698543,142.4044172,Mallee,Horsham,Grampians,Outer Regional Australia,25 February 2016
St Leonards,VIC-1629,N/A,Victoria,3223,-38.17007154,144.7172088,Corio,Greater Geelong,Barwon South West,Inner Regional Australia,25 February 2016
Staceys Bridge,VIC-1630,N/A,Victoria,3971,-38.56146537,146.5143632,Gippsland,Wellington,Gippsland,Inner Regional Australia,25 February 2016
Staffordshire Reef,VIC-1631,N/A,Victoria,3351,-37.74607633,143.7066483,Corangamite,Golden Plains,Grampians,Inner Regional Australia,25 February 2016
Staghorn Flat,VIC-1632,N/A,Victoria,3691,-36.25159189,146.9236723,Indi,Indigo,Hume,Inner Regional Australia,25 February 2016
Stanley,VIC-1633,N/A,Victoria,3747,-36.40431774,146.7556476,Indi,Indigo,Hume,Inner Regional Australia,25 February 2016
Staughton Vale,VIC-1634,N/A,Victoria,3340,-37.84982192,144.2824452,Corio,Greater Geelong,Barwon South West,Inner Regional Australia,25 February 2016
Stavely,VIC-1635,N/A,Victoria,3379,-37.6047322,142.6291117,Wannon,Ararat,Grampians,Outer Regional Australia,25 February 2016
Steels Creek,VIC-1636,N/A,Victoria,3775,-37.61610453,145.3711234,Casey,Yarra Ranges,Melbourne East,Inner Regional Australia,25 February 2016
Steiglitz,VIC-1637,N/A,Victoria,3331,-37.87811152,144.1755269,Corangamite,Golden Plains,Grampians,Inner Regional Australia,25 February 2016
Stirling,VIC-1638,N/A,Victoria,3893,-37.44252829,147.746827,Gippsland,East Gippsland,Gippsland,Outer Regional Australia,25 February 2016
Stockdale,VIC-1639,N/A,Victoria,3862,-37.80312062,147.1685769,Gippsland,Wellington,Gippsland,Outer Regional Australia,25 February 2016
Stockyard Hill,VIC-1640,N/A,Victoria,3373,-37.54465911,143.3180502,Wannon,Pyrenees,Grampians,Inner Regional Australia,25 February 2016
Stonehaven,VIC-1641,N/A,Victoria,3221,-38.12437015,144.230526,Corangamite,Golden Plains,Grampians,Inner Regional Australia,25 February 2016
Stoneleigh,VIC-1642,N/A,Victoria,3373,-37.58005711,143.2238382,Wannon,Pyrenees,Grampians,Inner Regional Australia,25 February 2016
Stony Creek,VIC-1643,N/A,Victoria,3957,-38.58623881,146.0359321,Mcmillan,South Gippsland,Gippsland,Inner Regional Australia,25 February 2016
Stradbroke,VIC-1644,N/A,Victoria,3851,-38.29974528,147.0334478,Gippsland,Wellington,Gippsland,Inner Regional Australia,25 February 2016
Straten,VIC-1645,N/A,Victoria,3533,-35.37737791,142.5726205,Mallee,Buloke,Loddon Mallee,Outer Regional Australia,25 February 2016
Stratford,VIC-1646,N/A,Victoria,3862,-37.96531144,147.0805321,Gippsland,Wellington,Gippsland,Inner Regional Australia,25 February 2016
Strath Creek,VIC-1647,N/A,Victoria,3658,-37.23595903,145.2205199,Indi,Murrindindi,Hume,Inner Regional Australia,25 February 2016
Strathbogie,VIC-1648,N/A,Victoria,3666,-36.85569416,145.73481,Murray,Strathbogie,Hume,Inner Regional Australia,25 February 2016
Strathbogie Ranges,VIC-1649,N/A,Victoria,3720,-36.92552444,145.9271793,Indi,Mansfield,Hume,Outer Regional Australia,25 February 2016
Strathdale,VIC-1650,N/A,Victoria,3550,-36.76440575,144.3167998,Bendigo,Greater Bendigo,Loddon Mallee,Inner Regional Australia,25 February 2016
Strathdownie,VIC-1651,N/A,Victoria,3312,-37.72667617,141.1446996,Wannon,Glenelg,Barwon South West,Outer Regional Australia,25 February 2016
Strathewen,VIC-1652,N/A,Victoria,3099,-37.54886958,145.2679123,McEwen,Nillumbik,Northern Melbourne,Inner Regional Australia,25 February 2016
Strathkellar,VIC-1653,N/A,Victoria,3301,-37.69892894,142.1136189,Wannon,Southern Grampians,Barwon South West,Outer Regional Australia,25 February 2016
Strathlea,VIC-1654,N/A,Victoria,3364,-37.14198934,143.9637201,Bendigo,Mount Alexander,Loddon Mallee,Inner Regional Australia,25 February 2016
Strathmerton,VIC-1655,N/A,Victoria,3641,-35.92521231,145.4793183,Murray,Moira,Hume,Inner Regional Australia,25 February 2016
Streatham,VIC-1656,N/A,Victoria,3351,-37.679427,143.061397,Wannon,Ararat,Grampians,Outer Regional Australia,25 February 2016
Strzelecki,VIC-1657,N/A,Victoria,3950,-38.33201054,145.9007964,Mcmillan,Baw Baw,Gippsland,Inner Regional Australia,25 February 2016
Stuart Mill,VIC-1658,N/A,Victoria,3477,-36.80811848,143.2897016,Mallee,Northern Grampians,Grampians,Outer Regional Australia,25 February 2016
Sugarloaf,VIC-1659,N/A,Victoria,3221,-38.69480101,143.8055191,Corangamite,Colac-Otway,Barwon South West,Inner Regional Australia,25 February 2016
Sugarloaf Creek,VIC-1660,N/A,Victoria,3658,-37.13211,145.022403,McEwen,Mitchell,Hume,Inner Regional Australia,25 February 2016
Suggan Buggan,VIC-1661,N/A,Victoria,3885,-36.94738378,148.3365642,Gippsland,East Gippsland,Gippsland,Remote Australia,25 February 2016
Summerlands,VIC-1662,N/A,Victoria,3922,-38.50944634,145.1470521,Flinders,Bass Coast,Gippsland,Inner Regional Australia,25 February 2016
Sunbury,VIC-1663,N/A,Victoria,3429,-37.57860547,144.7282385,McEwen,Hume,Northern Melbourne,Major Cities of Australia,25 February 2016
Sunday Creek,VIC-1664,N/A,Victoria,3658,-37.2459221,145.0442767,McEwen,Mitchell,Hume,Inner Regional Australia,25 February 2016
Sunraysia Highway,VIC-1665,N/A,Victoria,3482,-36.18248481,142.8532,Mallee,Buloke,Loddon Mallee,Outer Regional Australia,25 February 2016
Surf Beach,VIC-1666,N/A,Victoria,3922,-38.50695624,145.2905564,Flinders,Bass Coast,Gippsland,Inner Regional Australia,25 February 2016
Sutherlands Creek,VIC-1667,N/A,Victoria,3331,-38.01658351,144.2286025,Corangamite,Golden Plains,Grampians,Inner Regional Australia,25 February 2016
Sutton,VIC-1668,N/A,Victoria,3530,-35.73828721,142.9785899,Mallee,Buloke,Loddon Mallee,Outer Regional Australia,25 February 2016
Swan Bay,VIC-1669,N/A,Victoria,3225,-38.22518809,144.6359764,Corio,Greater Geelong,Barwon South West,Inner Regional Australia,25 February 2016
Swan Hill West,VIC-1670,N/A,Victoria,3585,-35.36511442,143.4143898,Mallee,Swan Hill,Loddon Mallee,Outer Regional Australia,25 February 2016
Swan Island,VIC-1671,N/A,Victoria,3225,-38.25499012,144.6676831,Corangamite,Queenscliffe,Barwon South West,Inner Regional Australia,25 February 2016
Swan Marsh,VIC-1672,N/A,Victoria,3249,-38.37482791,143.3753174,Corangamite,Colac-Otway,Barwon South West,Inner Regional Australia,25 February 2016
Swan Reach,VIC-1673,N/A,Victoria,3903,-37.82283194,147.8578212,Gippsland,East Gippsland,Gippsland,Outer Regional Australia,25 February 2016
Swanpool,VIC-1674,N/A,Victoria,3673,-36.74356787,145.9997947,Indi,Benalla,Hume,Inner Regional Australia,25 February 2016
Swanwater,VIC-1675,N/A,Victoria,3477,-36.53903502,143.115698,Mallee,Northern Grampians,Grampians,Outer Regional Australia,25 February 2016
Swanwater West,VIC-1676,N/A,Victoria,3480,-36.51278062,143.026496,Mallee,Northern Grampians,Grampians,Outer Regional Australia,25 February 2016
Swifts Creek,VIC-1677,N/A,Victoria,3896,-37.26316128,147.721055,Gippsland,East Gippsland,Gippsland,Outer Regional Australia,25 February 2016
Sydenham Inlet Road,VIC-1678,Between Bemm River and Manorina,Victoria,3889,-37.7109145,148.8881024,Gippsland,East Gippsland,Gippsland,Remote Australia,25 February 2016
Sylvaterre,VIC-1679,N/A,Victoria,3575,-36.09105331,144.2377429,Murray,Loddon,Loddon Mallee,Outer Regional Australia,25 February 2016
Tabberabbera,VIC-1680,N/A,Victoria,3875,-37.55561006,147.3566984,Gippsland,East Gippsland,Gippsland,Outer Regional Australia,25 February 2016
Tabilk,VIC-1681,N/A,Victoria,3607,-36.84666027,145.1611096,Murray,Strathbogie,Hume,Inner Regional Australia,25 February 2016
Taggerty,VIC-1682,N/A,Victoria,3714,-37.32138669,145.7137453,Indi,Murrindindi,Hume,Inner Regional Australia,25 February 2016
Tahara,VIC-1683,N/A,Victoria,3301,-37.74329709,141.7028072,Wannon,Glenelg,Barwon South West,Outer Regional Australia,25 February 2016
Tahara Bridge,VIC-1684,N/A,Victoria,3315,-37.68725292,141.6495151,Wannon,Glenelg,Barwon South West,Outer Regional Australia,25 February 2016
Tahara West,VIC-1685,N/A,Victoria,3310,-37.72773622,141.6400435,Wannon,Glenelg,Barwon South West,Outer Regional Australia,25 February 2016
Talbot,VIC-1686,N/A,Victoria,3371,-37.17094072,143.7027627,Wannon,Central Goldfields,Loddon Mallee,Inner Regional Australia,25 February 2016
Talgarno,VIC-1687,N/A,Victoria,3691,-36.06658447,147.1584687,Indi,Towong,Hume,Inner Regional Australia,25 February 2016
Talgarno Gap Road,VIC-1688,N/A,Victoria,3691,-36.106367,147.135861,Indi,Towong,Hume,Inner Regional Australia,25 February 2016
