Location Name,Identifier,Road Section,State,Post Code,Latitude,Longitude,Electorate,Local Government Area,Regional Development Authority,Remoteness Area,Updated
Bells Line of Road,NSW-0109,Between Richmond and Lithgow,New South Wales,2787,-33.55712236,150.3739704,Macquarie,Blue Mountains,Sydney,Inner Regional Australia,25 February 2016
Belltrees,NSW-0110,N/A,New South Wales,2337,-32.01147364,151.0976711,Hunter,Upper Hunter Shire,Hunter,Outer Regional Australia,25 February 2016
Beloka,NSW-0111,N/A,New South Wales,2628,-36.56209041,148.7040106,Eden-Monaro,Snowy River,Southern Inland,Outer Regional Australia,25 February 2016
Belowra,NSW-0112,N/A,New South Wales,2545,-36.13588408,149.6848478,Eden-Monaro,Eurobodalla,South Coast,Outer Regional Australia,25 February 2016
Ben Lomond,NSW-0113,N/A,New South Wales,2365,-30.02067455,151.6598201,New England,Guyra,Northern Inland,Outer Regional Australia,25 February 2016
Benandarah,NSW-0114,N/A,New South Wales,2536,-35.64793366,150.2363776,Eden-Monaro,Eurobodalla,South Coast,Inner Regional Australia,25 February 2016
Bendalong,NSW-0115,N/A,New South Wales,2539,-35.2456056,150.5314186,Gilmore,Shoalhaven,South Coast,Inner Regional Australia,25 February 2016
Bendemeer,NSW-0116,N/A,New South Wales,2355,-30.87874155,151.1594902,New England,Tamworth Regional,Northern Inland,Outer Regional Australia,25 February 2016
Bendick Murrell,NSW-0117,N/A,New South Wales,2803,-34.16793413,148.4565089,Hume,Young,Southern Inland,Outer Regional Australia,25 February 2016
Bendolba,NSW-0118,N/A,New South Wales,2420,-32.32754615,151.726359,Paterson,Dungog,Hunter,Inner Regional Australia,25 February 2016
Bentley,NSW-0119,N/A,New South Wales,2480,-28.78499794,153.1237625,Page,Richmond Valley,Northern Rivers,Inner Regional Australia,25 February 2016
Bentley Road,NSW-0120,Between Bentley and Boorabee Park,New South Wales,2480,-28.74954678,153.0772878,Page,Richmond Valley,Northern Rivers,Inner Regional Australia,25 February 2016
Berambing,NSW-0121,N/A,New South Wales,2758,-33.53248161,150.4450216,Macquarie,Hawkesbury,Sydney,Inner Regional Australia,25 February 2016
Beresfield,NSW-0122,N/A,New South Wales,2322,-32.7994694,151.6572769,Newcastle,Newcastle,Hunter,Major Cities of Australia,25 February 2016
Bernallah Road,NSW-0123,N/A,New South Wales,2620,-35.37739177,149.290573,Eden-Monaro,Queanbeyan,Southern Inland,Inner Regional Australia,25 February 2016
Berowra Creek,NSW-0124,N/A,New South Wales,2082,-33.57819646,151.129441,Berowra,Hornsby,Sydney,Inner Regional Australia,25 February 2016
Berridale,NSW-0125,N/A,New South Wales,2628,-36.36636383,148.8280196,Eden-Monaro,Snowy River,Southern Inland,Outer Regional Australia,25 February 2016
Berrigan,NSW-0126,N/A,New South Wales,2712,-35.65710781,145.8084876,Farrer,Berrigan,Murray,Outer Regional Australia,25 February 2016
Berrima,NSW-0127,N/A,New South Wales,2577,-34.4870282,150.3379474,Throsby,Wingecarribee,Southern Inland,Inner Regional Australia,25 February 2016
Bethungra,NSW-0128,N/A,New South Wales,2590,-34.761212,147.855646,Riverina,Junee,Riverina,Outer Regional Australia,25 February 2016
Bevendale,NSW-0129,N/A,New South Wales,2581,-34.53059988,149.1171989,Hume,Upper Lachlan Shire,Southern Inland,Inner Regional Australia,25 February 2016
Bewong,NSW-0130,N/A,New South Wales,2540,-35.08493726,150.5345384,Gilmore,Shoalhaven,South Coast,Inner Regional Australia,25 February 2016
